month_number,month,year,inflation_factor,discount_factor_domestico,discount_factor_commerciale,discount_factor_pubblico,discount_factor_industriale,discount_factor_ESCo,discount_factor_CACER
1,2022-01,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2022-02,2022,1.0065116541199879,0.9969368698917446,0.995942407351067,0.9969368698917446,0.995942407351067,0.993607101988294,0.9969368698917446
3,2022-03,2022,1.013065709879354,0.9938831225495494,0.9919012787602387,0.9938831225495494,0.9919012787602387,0.9872550731215761,0.9938831225495494
4,2022-04,2022,1.0196624433829085,0.9908387292327808,0.9878765474230741,0.9908387292327808,0.9878765474230741,0.9809436521275706,0.9908387292327808
5,2022-05,2022,1.0263021325333597,0.9878036612888422,0.9838681468061967,0.9878036612888422,0.9838681468061967,0.9746725794042888,0.9878036612888422
6,2022-06,2022,1.0329850570430228,0.9847778901529035,0.9798760106461968,0.9847778901529035,0.9798760106461968,0.968441597009351,0.9847778901529035
7,2022-07,2022,1.0397114984456028,0.981761387347632,0.9759000729485329,0.981761387347632,0.9759000729485329,0.9622504486493764,0.981761387347632
8,2022-08,2022,1.0464817401080548,0.9787541244829246,0.9719402679864438,0.9787541244829246,0.9719402679864438,0.9560988796694426,0.9787541244829246
9,2022-09,2022,1.0532960672425216,0.9757560732556418,0.9679965302998599,0.9757560732556418,0.9679965302998599,0.9499866370426097,0.9757560732556418
10,2022-10,2022,1.0601547669183484,0.9727672054493394,0.9640687946943227,0.9727672054493394,0.9640687946943227,0.9439134693595127,0.9727672054493394
11,2022-11,2022,1.067058128074177,0.969787492934004,0.9601569962399052,0.969787492934004,0.9601569962399052,0.9378791268180219,0.969787492934004
12,2022-12,2022,1.0740064415301178,0.9668169076657883,0.9562610702701407,0.9668169076657883,0.9562610702701407,0.9318833612129664,0.9668169076657883
